State,class
99+Z0Z+Z0Z+,Botnet-UDP-DNS
11*R00R*,Botnet-UDP-DNS
Z0Z+Z0Z+Z0Z,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
77.Z0Z+Z0Z+,Botnet-UDP-DNS
5.Z0Z+Z0Z.Z,Botnet-UDP-DNS
66*W00,Botnet-UDP-DNS
64*W0R*,Botnet-UDP-DNS
99+Z0Z.Z0Z+,Botnet-UDP-DNS
0Z+Z0Z.Z0Z+,Botnet-UDP-DNS
99+Z0Z.Z0Z+,Botnet-UDP-DNS
5500V+,Botnet-UDP-DNS
99*z*z0Z+,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
66*F*v0R*,Botnet-UDP-DNS
99+W0Z.Z0Z+,Botnet-UDP-DNS
99*z*z0Z+,Botnet-UDP-DNS
4.Z0Z+Z0Z+Z,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
99+W0Z+Z0Z+,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
44*u0,Botnet-UDP-DNS
64*W0,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
22+S*w+s*,Botnet-TCP-Attempt-SPAM
91*r0,Botnet-UDP-DNS
91*u00R*,Botnet-UDP-DNS
11*Z0Z+,Botnet-UDP-DNS
99*z*v0Z*,Botnet-UDP-Attempt-DNS
99*z*v0Z*,Botnet-UDP-DNS
99*z*V0Z*,Botnet-UDP-DNS
22*s+,Botnet-TCP-Attempt-SPAM
99+Z0Z+Z0Z+,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
66*R00,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
"22,b,",Botnet-TCP-Attempt-SPAM
"22,S00",Botnet-TCP-Attempt-SPAM
19*y*r0,Botnet-UDP-DNS
66*U00,Botnet-UDP-DNS
44*U00,Botnet-UDP-DNS
11*Z0,Botnet-UDP-DNS
66*W00,Botnet-UDP-DNS
"96*u*w0W,",Botnet-UDP-DNS
99+Z0Z.Z0z*,Botnet-UDP-Attempt-DNS
99+Z0Z.Z0z*,Botnet-UDP-DNS
66*W00S*,Botnet-UDP-DNS
"S.S+S.S*S,s",Botnet-TCP-Attempt-SPAM
94*U00,Botnet-UDP-Attempt-DNS
94*U00,Botnet-UDP-DNS
96*U00W*,Botnet-UDP-Attempt-DNS
96*U00W*,Botnet-UDP-DNS
96*V00U*,Botnet-UDP-Attempt-DNS
96*V00U*,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
"*S,s,s.S*s+",Botnet-TCP-Attempt-SPAM
94+W00,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
99+Z0Z+Z0Z+,Botnet-UDP-Attempt-DNS
99+Z0Z+Z0Z+,Botnet-UDP-DNS
69*r*w0W+,Botnet-UDP-DNS
22*s+s*W00,Botnet-TCP-Attempt-SPAM
"22,S*S,S*",Botnet-TCP-Attempt-SPAM
220W+S0s*,Botnet-TCP-Attempt-SPAM
9*y*y0y*y0Y,Botnet-TCP-Established-HTTP-Ad
"Y.R+Y,r.Z.Z",Botnet-TCP-Established-HTTP-Ad
*h*y0h*y*Y.,Botnet-TCP-Established-HTTP-Ad
"Z,Y+y,Z0Z+h",Botnet-TCP-Established-HTTP-Ad-yieldmanager
9*I*Z*y*Z0i,Botnet-TCP-WEB-Established
"*z*y*Z.Y,Y+",Botnet-TCP-Established-HTTP-Ad
.R*r0Y.V.Z0,Botnet-TCP-Established-HTTP-Ad
"+Z0I0Z*Z,Z*",Botnet-TCP-Established-HTTP-Ad
980H0I0Z+,Botnet-TCP-WEB-Established
96*z*u0W+,Botnet-UDP-DNS
99*Z00U+,Botnet-UDP-DNS
22*s*s*s*s*,Botnet-TCP-Attempt-SPAM
99*U00R*,Botnet-UDP-DNS
"22,S*S.S*W+",Botnet-TCP-Attempt-SPAM
66*w0,Botnet-UDP-DNS
62.S*,Botnet-TCP-Attempt-SPAM
9400R*,Botnet-UDP-DNS
22+s*s+s*,Botnet-TCP-Attempt-SPAM
99*I*w0Z*,Botnet-UDP-Attempt-DNS
99*I*w0Z*,Botnet-UDP-DNS
15+R0,Botnet-UDP-DNS
22+S*w+s*,Botnet-TCP-Attempt-SPAM
99+Z0Z.W0Z+,Botnet-UDP-Attempt-DNS
99+Z0Z.W0Z+,Botnet-UDP-DNS
99*w*z0W*,Botnet-UDP-Attempt-DNS
99*w*z0W*,Botnet-UDP-DNS
96*u00,Botnet-UDP-DNS
69+W0V*W0Z+,Botnet-UDP-DNS
99*U00R*,Botnet-UDP-Attempt-DNS
99*U00R*,Botnet-UDP-DNS
22*s0,Botnet-UDP-DNS
22*B*,Botnet-TCP-Attempt-SPAM
54*y0W*,Botnet-UDP-DNS
22*B*,Botnet-TCP-Attempt-SPAM
99+Z0w*Z0Z*,Botnet-UDP-Attempt-DNS
99+Z0w*Z0Z*,Botnet-UDP-DNS
96*W00U+,Botnet-UDP-DNS
66*U00,Botnet-UDP-DNS
"22+S00S,B,",Botnet-TCP-Attempt-SPAM
96*W00,Botnet-UDP-DNS
49*R00,Botnet-UDP-DNS
9100R*,Botnet-UDP-DNS
46*U0,Botnet-UDP-DNS
110R*,Botnet-UDP-DNS
2*S*s0B0S*s,Botnet-TCP-Attempt-SPAM
22.S*S.S*,Botnet-TCP-Attempt-SPAM
22*B*w*S+,Botnet-TCP-Attempt-SPAM
440v0,Botnet-UDP-DNS
12*S000S*s*,Botnet-TCP-Attempt-SPAM
54*U0,Botnet-UDP-DNS
"98,I,z+z,Z0",Botnet-TCP-Established-HTTP-Binary-Download
"22,S*S.S*S.",Botnet-TCP-Attempt-SPAM
22.W*S.S*,Botnet-TCP-Attempt-SPAM
64*r00,Botnet-UDP-Attempt-DNS
64*r00,Botnet-UDP-DNS
Z0Z+Z0Z.Z0Z,Botnet-UDP-DNS
22.S*S.S*S.,Botnet-TCP-Attempt-SPAM
96+W0W+U0,Botnet-UDP-DNS
99*w*w0W*,Botnet-UDP-DNS
99*w*z0V*,Botnet-UDP-DNS
99*v*w0U*,Botnet-UDP-DNS
22*b*s0S*,Botnet-TCP-Attempt-SPAM
99*w00W+,Botnet-UDP-DNS
99*W00W+,Botnet-UDP-Attempt-DNS
99*W00W+,Botnet-UDP-DNS
16*R00,Botnet-UDP-DNS
22*s*,Botnet-TCP-Attempt-SPAM
99+Z0Z+Z0Z+,Botnet-UDP-DNS
"22,S*s*s0",Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
2200s*,Botnet-TCP-Attempt-SPAM
22+R*,Botnet-TCP-Attempt-SPAM
44.Z0Z+Z0Z.,Botnet-UDP-DNS
"22000T,",Botnet-TCP-Attempt-SPAM
55000,Botnet-TCP-Attempt-SPAM
22000S*,Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
22000S.,Botnet-TCP-Attempt-SPAM
"*s*S,S*s*s*",Botnet-TCP-Attempt-SPAM
"220S,",Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
32*B0,Botnet-TCP-Attempt-SPAM
",S000S*S+s,",Botnet-TCP-Attempt-SPAM
S*s*S0S*S+S,Botnet-TCP-Attempt-SPAM
22*s0,Botnet-TCP-Attempt-SPAM
"62,S*",Botnet-TCP-Attempt-SPAM
44*u0U*,Botnet-UDP-DNS
41*u0,Botnet-UDP-DNS
66*R00,Botnet-UDP-DNS
22000,Botnet-TCP-Attempt-SPAM
"*s+s*s*S,S*",Botnet-TCP-Attempt-SPAM
",b,B,s,s+s+",Botnet-TCP-Attempt-SPAM
"22*S,S+s+",Botnet-TCP-Attempt-SPAM
",s,s,S*s*S,",Botnet-TCP-Attempt-SPAM
",B,S.s,S.S,",Botnet-TCP-Attempt-SPAM
",B,s,s,s+s,",Botnet-TCP-Attempt-SPAM
",S,s,s,S+S*",Botnet-TCP-Attempt-SPAM
+y*I*z+z*z+,Botnet-TCP-Established-SPAM
*z*z*Z0H0z*,Botnet-TCP-Established-SPAM
"B,B,b,b,s,s",Botnet-TCP-Attempt-SPAM
"+s,s+s+S*s*",Botnet-TCP-Attempt-SPAM
"*s+B+s,s+s+",Botnet-TCP-Attempt-SPAM
"s,s,s,s+s,s",Botnet-TCP-Attempt-SPAM
66*V00,Botnet-UDP-DNS
"22,S*S,S*S,",Botnet-TCP-Attempt-SPAM
"88,Y*Y,",Botnet-TCP-WEB-Established-SSL
88*y*,Botnet-TCP-WEB-Established
+S*s*s*s*s*,Botnet-TCP-Attempt-SPAM
220s*,Botnet-TCP-Attempt-SPAM
"*S,S*S+S,S*",Botnet-TCP-Attempt-SPAM
B*S000S*S+S,Botnet-TCP-Attempt-SPAM
+S0B0s*s*s*,Botnet-TCP-Attempt-SPAM
s0S*B*s+s*s,Botnet-TCP-Attempt-SPAM
*s*s*s*S0s*,Botnet-TCP-Attempt-SPAM
1+S*B*s*B0S,Botnet-TCP-Attempt-SPAM
"*S,S*s*S,S*",Botnet-TCP-Attempt-SPAM
"22*S00S,s,",Botnet-TCP-Attempt-SPAM
"b,s+S,S+s+s",Botnet-TCP-Attempt-SPAM
"22,S*",Botnet-TCP-Attempt-SPAM
",S*S0S+S*S+",Botnet-TCP-Attempt-SPAM
"*S.S,s+S,S*",Botnet-TCP-Attempt-SPAM
99+U00,Botnet-UDP-DNS
22*s*s00,Botnet-TCP-Attempt-SPAM
220s*B*,Botnet-TCP-Attempt-SPAM
"22,S000S,",Botnet-TCP-Attempt-SPAM
99*z*Z0,Botnet-UDP-DNS
"22,S*S.S*S.",Botnet-TCP-Attempt-SPAM
16*R00,Botnet-UDP-DNS
"22*B*S,S*s*",Botnet-TCP-Attempt-SPAM
"s*s*s*s*S,S",Botnet-TCP-Attempt-SPAM
2200S*S0,Botnet-TCP-Attempt-SPAM
"22,S*S000S,",Botnet-TCP-Attempt-SPAM
Z*Z.Z*i*i+i,Botnet-TCP-Established-HTTP-Ad
2200s*,Botnet-TCP-Attempt-SPAM
220s0S*,Botnet-TCP-Attempt-SPAM
55*e*v0,Botnet-TCP-Attempt-SPAM
"22,W*S.",Botnet-TCP-Attempt-SPAM
"22,S*W.",Botnet-TCP-Attempt-SPAM
",s,B,S+s+s+",Botnet-TCP-Attempt-SPAM
"22,W*S,S*",Botnet-TCP-Attempt-SPAM
11*s0,Botnet-TCP-Attempt-SPAM
"22000S,S.",Botnet-TCP-Attempt-SPAM
",s.b.S.S,S.",Botnet-TCP-Attempt-SPAM
"s,s,B,s,S.S",Botnet-TCP-Attempt-SPAM
22*s*s*S0s*,Botnet-TCP-Attempt-SPAM
*w+B+s*s+s*,Botnet-TCP-Attempt-SPAM
65*s00,Botnet-UDP-DNS
15*v*,Botnet-UDP-Attempt-DNS
15*v*,Botnet-UDP-DNS
220s0b0,Botnet-TCP-Attempt-SPAM
22000,Botnet-TCP-Attempt-SPAM
220S*,Botnet-TCP-Attempt-SPAM
12*S.,Botnet-TCP-Attempt-SPAM
22+S*,Botnet-TCP-Attempt-SPAM
220s*,Botnet-TCP-Attempt-SPAM
55*s*,Botnet-TCP-Attempt-SPAM
22*r*s00,Botnet-TCP-Attempt-SPAM
22*s0S*,Botnet-TCP-Attempt-SPAM
",z,I,I,E,i,",Botnet-TCP-Not-Encrypted-SMTP-Private-Proxy
",B,B,s,s,s,",Botnet-TCP-Attempt-SPAM
550R*,Botnet-TCP-Attempt-SPAM
"22,b,W0",Botnet-TCP-Attempt-SPAM
61*w0,Botnet-UDP-DNS
22*B*,Botnet-TCP-Attempt-SPAM
220S+,Botnet-TCP-Attempt-SPAM
