src,dst,port,proto,State,label,class,modelsize
147.32.84.134,194.79.52.99,80.0,tcp,Z.,Normal-Jist,normal,7
147.32.84.134,194.79.54.24,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,194.79.54.61,80.0,tcp,"w.w.F.X.X.G.X.x.x.X.X.X,X.X.x.X+X.x.W*W.w.Y.",Normal-Jist,normal,49
147.32.84.134,194.79.54.62,80.0,tcp,"W.W.W.w.X.x.x.X.X.X.X,X.X.x.",Normal-Jist,normal,33
147.32.84.134,195.113.232.74,80.0,tcp,W0W.W.W.W*W.w.,Normal-Jist,normal,19
147.32.84.134,195.113.232.82,80.0,tcp,Z.I.Z.z.z.W0W.f.W.W.w.Z.W*W.W.W.W.W.Z.z.Z.W*W.W.w.w.W.W+W.w.,Normal-Jist,normal,65
147.32.84.134,195.168.10.171,80.0,tcp,X+W.W.Y*W.F.,Normal-Jist,normal,17
147.32.84.134,199.7.52.72,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,2.20.182.19,443.0,tcp,I.Z.Z.Z.z.z.Z.Z.Z.,Normal-Jist,normal,23
147.32.84.134,2.20.182.41,443.0,tcp,"z.Z.Z.Z.Z.Z,Z.I.Z,Z.z.I.z.z.Z*Z.z.z.Z.Z.Z.z.z.Z.Z+",Normal-Jist,normal,55
147.32.84.134,2.21.98.110,443.0,tcp,"z.i.Z.Z+Z.Z.z.I.I.Z+Z.Z.I.Z+Z.Z.Z.z.z.Z,Z.z.I.i.i.Z,Z.Z.i.Z+Z.I.i.Z.Z.Z+Z.Z.z.Z.Z.Z,Z.Z,Z.z.z.z.i.Z*Z.Z.Z.Z.z.Z,Z*Z.Z.z.z.Z.Z,Z.",Normal-Jist,normal,133
147.32.84.134,2.21.99.206,443.0,tcp,"z.Z+Z.I.Z.Z.Z*Z.Z.z.Z,Z.Z,z,Z.I.Z+Z.z.z.i.Z+Z.I.z.Z,Z.Z.z.Z*Z.Z.Z.Z*Z.i.Z.Z.",Normal-Jist,normal,81
147.32.84.134,209.85.148.104,80.0,tcp,W.w.W.Z.,Normal-Jist,normal,13
147.32.84.134,209.85.148.106,80.0,tcp,W.w.F.Z.W*w*w*W.W.w.w.W.Z.W+W.W.W.w.w.,Normal-Jist,normal,43
147.32.84.134,209.85.148.99,80.0,tcp,"z.W,W.F.f.W*Z.W.W.f.w.w.",Normal-Jist,normal,29
147.32.84.134,209.85.149.101,80.0,tcp,00,Normal-Jist,normal,7
147.32.84.134,209.85.149.132,443.0,tcp,z.I.I.,Normal-Jist,normal,11
147.32.84.134,209.85.149.139,80.0,tcp,00,Normal-Jist,normal,7
147.32.84.134,62.168.44.115,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,62.168.44.116,80.0,tcp,"W,W.e.",Normal-Jist,normal,11
147.32.84.134,64.4.34.35,1863.0,tcp,i0,Normal-Jist,normal,7
147.32.84.134,64.4.44.94,1863.0,tcp,,Normal-Jist,normal,5
147.32.84.134,65.55.142.20,80.0,tcp,Z.,Normal-Jist,normal,7
147.32.84.134,66.220.151.91,443.0,tcp,"W.W.W,i,Y.F.W+W.Z+Z.z.W.W.h.Z.Z.Z.W.Z.Z+Z.Z.I.Z.Z.W.w.W,Z+Z.Z.Z.Z.z.Y.Z,Y.W,W.F.W.z.W+W.Z.Z+Z.z.z.Z.W,Z*Z.I.z.W.W.W.F.Y.H.W+z*Z.i.I.z.F.W.w.Z,",Normal-Jist,normal,147
147.32.84.134,66.220.158.25,80.0,tcp,F.F.,Normal-Jist,normal,9
147.32.84.134,66.220.158.32,443.0,tcp,Z.Z.Z.,Normal-Jist,normal,11
147.32.84.134,66.220.158.32,80.0,tcp,W.,Normal-Jist,normal,7
147.32.84.134,69.171.242.12,443.0,tcp,Z.Z.z.I.Z.z.Z.,Normal-Jist,normal,19
147.32.84.134,69.171.242.40,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,69.63.181.12,80.0,tcp,"W*Z,W*Z.",Normal-Jist,normal,13
147.32.84.134,69.63.189.26,443.0,tcp,"Z.Z.I.Z,",Normal-Jist,normal,13
147.32.84.134,69.63.189.26,80.0,tcp,Z.,Normal-Jist,normal,7
147.32.84.134,69.63.190.10,443.0,tcp,Z.Z.I.I.Z.Z+Z.z.z.,Normal-Jist,normal,23
147.32.84.134,69.63.190.14,443.0,tcp,"I.i.I.Z*Z.i.Z,Z.z.Z,Z.",Normal-Jist,normal,27
147.32.84.134,74.125.232.193,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,74.125.232.195,80.0,tcp,z.z.Z*w0W.W.W.Z*,Normal-Jist,normal,21
147.32.84.134,74.125.232.196,443.0,tcp,Z*z*,Normal-Jist,normal,9
147.32.84.134,74.125.232.196,80.0,tcp,Z.I.Z00z*,Normal-Jist,normal,14
147.32.84.134,74.125.232.197,80.0,tcp,.Z00,Normal-Jist,normal,9
147.32.84.134,74.125.232.198,80.0,tcp,W.,Normal-Jist,normal,7
147.32.84.134,74.125.232.199,80.0,tcp,W.W.Z.Z*,Normal-Jist,normal,13
147.32.84.134,74.125.232.200,80.0,tcp,Z.W00W.,Normal-Jist,normal,12
147.32.84.134,74.125.232.201,443.0,tcp,,Normal-Jist,normal,5
147.32.84.134,74.125.232.201,80.0,tcp,f.Z.Z*Z+,Normal-Jist,normal,13
147.32.84.134,74.125.232.202,80.0,tcp,"w.W.Z,Z.z.i.z.",Normal-Jist,normal,19
147.32.84.134,74.125.232.203,80.0,tcp,"Z+W*W.W.Z.W,W.w.Z.Z.w.",Normal-Jist,normal,27
147.32.84.134,74.125.232.205,80.0,tcp,.W.W.,Normal-Jist,normal,10
147.32.84.134,74.125.232.207,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,74.125.232.223,80.0,tcp,"W,W.W.W*W.F.W*W.W.W*W.W*W.W+W.",Normal-Jist,normal,35
147.32.84.134,74.125.43.16,993.0,tcp,*i0,Normal-Jist,normal,8
147.32.84.134,77.104.226.16,80.0,tcp,z.Z.i.z.i.Z+Z.I.I.,Normal-Jist,normal,23
147.32.84.134,77.104.226.22,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,77.78.99.22,80.0,tcp,"V.V.V.X.V,V.E.V.V.E.X.G.x.V*V.V.X.x.X,X.",Normal-Jist,normal,45
147.32.84.134,80.239.149.10,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,80.239.149.19,443.0,tcp,I.i.z.Z+Z.Z.Z*Z.Z.z.Z.Z.,Normal-Jist,normal,29
147.32.84.134,80.239.149.24,80.0,tcp,I.,Normal-Jist,normal,7
147.32.84.134,80.239.149.26,80.0,tcp,w.,Normal-Jist,normal,7
147.32.84.134,80.239.149.35,443.0,tcp,"z.Z.z.Z,Z.Z.Z.i.",Normal-Jist,normal,21
147.32.84.134,80.239.149.8,443.0,tcp,Z.Z.Z.,Normal-Jist,normal,11
147.32.84.134,80.250.15.41,80.0,tcp,I.I.Z.,Normal-Jist,normal,11
147.32.84.134,80.250.15.9,80.0,tcp,z.I.I.z.Z.Z.z.Z.I.,Normal-Jist,normal,23
147.32.84.134,81.31.45.94,80.0,tcp,"F.f.f.Z.Z.Z.Z.Z.I.W+W.w.F.f.f.Z.Z.Z.z.I.i.Z,Z.Z.Z,i,W.W.w.w.W.w.",Normal-Jist,normal,69
147.32.84.134,82.208.47.218,80.0,tcp,,Normal-Jist,normal,5
147.32.84.134,88.86.100.176,80.0,tcp,g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.h.G.G.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.h.G.G.g.g.g.g.g.g.g.g.g.g.g.g.h.G.H.h.G.G.g.g.g.g.g.g.g.,Normal-Jist,normal,487
147.32.84.134,88.86.101.2,80.0,tcp,"g,x,x,",Normal-Jist,normal,11
147.32.84.134,91.189.94.12,80.0,tcp,z.Z.z.,Normal-Jist,normal,11
147.32.84.134,91.198.174.232,80.0,tcp,Z0,Normal-Jist,normal,7
147.32.84.134,91.198.174.233,80.0,tcp,Y.X.Y*Y.y.Y.Y.Z0Z.z.W.,Normal-Jist,normal,27
147.32.84.134,91.198.174.234,80.0,tcp,i.I.Z*Z.Z0Z.Z.I.I.z.,Normal-Jist,normal,25
147.32.84.134,92.123.64.104,443.0,tcp,"i.Z.Z.Z.Z.Z.z.Z*Z.I.I.z.z.Z,Z.Z.z.",Normal-Jist,normal,39
147.32.84.134,92.123.64.160,443.0,tcp,"Z*Z.Z.Z.Z.Z,Z.Z.Z.Z.Z*Z.Z.z.Z.z.",Normal-Jist,normal,37
147.32.84.134,92.123.64.169,443.0,tcp,Z*Z.z.Z.Z.z.i.I.,Normal-Jist,normal,21
147.32.84.134,92.123.64.171,443.0,tcp,I.i.Z.,Normal-Jist,normal,11
147.32.84.134,92.123.68.145,443.0,tcp,I.,Normal-Jist,normal,7
147.32.84.137,82.208.56.89,123.0,udp,f0f0f0,Normal-UDP-NTP-server,normal,11
147.32.84.15,82.208.56.89,123.0,udp,i0i0i0f0,Normal-UDP-NTP-server,normal,13
147.32.84.164,140.98.193.112,80.0,tcp,I.i.i.Y00000Y.Z.,Normal-Grill,normal,21
147.32.84.164,140.98.193.169,80.0,tcp,0000W.,Normal-Grill,normal,11
147.32.84.164,147.32.235.130,443.0,tcp,"Z.Z.z.Z,Z.z.i.",Normal-Grill,normal,19
147.32.84.164,147.32.80.9,53.0,udp,"R.A.R+U.V.U.R.R.A.S.r.V.U,U.R.U.u.R.A.a.U.W.W.R.U.U.r.W.U.R.U.r.U.R.U.u.U.R.U.A.u.u.U.S.r.U.r.U.U.u.u.W.U.R.W.r.u.W.B.b.d.R.S.u.W.r.r.d.A.F.A.r.D.w.r.B.R.U.R.S.R+U.R,W.R.R.A.R.U.U,U.R,U.r.w.R.R.A.R.R.u.R.R.r.U.D.U.u.U.r.r.r.u.r.u.r.u.r.R.U.U.u.R.R.u.R.R.r.R.D.r.r.A.r.u.u.A.r.u.R.R.R.U.U.R.R.R.R.R.W.U.R.r.r.F.U.U.r.r.r.w.r.r.r.R.R.r.R.R.D.a.U.U.r.r.F.R.U.R.w.U.R.U.R.R.r.A.R.a.r.U.R.w.u.D.U.R.R.R.U.d.A.A.R.W.R.R.r.R.W.R.R.r.r.r.r.r.A.r.U.R.R.r.r.r.a.r.a.R.R.R.r.r.a.A.R.R.r.w.R.R.w.R.r.r.r.r.r.r.r.R.R.R.R.r.R.R.U.R.R.u.u.R.u.U.U.u.r.r.U.R.R.R.r.U.R.r.R.U.r.r.R.R.R.r.r.R.r.U.R.R.W.r.r.A.r.A.r.R.r.r.r.R.R.r.r.u.R.R.u.U.a.R.R.r.r.R.R.U.R.S.s.r.R.A.R.R.A.R.V.R.R.R+W.A.U.U.U.R.U.U.u.U.U.U.D.U.U.r.r.U.U.r.u.u.r.u.u.u.U.u.D.A.r.U.u.r.u.u.u.D.u.r.u.D.u.r.r.u.U.V.u.R.r.R.R.u.D.r.U.U.U.R.R.R.u.r.A.u.R.W.r.D.A.r.r.B.U.W.R.u.r.r.a.u.u.u.u.A.r.D.S.u.U.r.r.f.w.D.R.R.S.u.R.r.A.U.u.D.R.r.R.D.R.R.r.r.A.D.r.u.U.s.S.d.D.U.U.W,R.D.r.r.d.U.U.u.u.R.R.u.R.U.R.U.r.U.r.D.U.R.R.U.r.U.U.U.r.U.R.U.U.r.U.R.U.U.R.R.U.",Normal-Grill,normal,11185
147.32.84.164,194.79.52.194,80.0,tcp,X0X.X.X+X.x.x.X.G.G.X.x.,Normal-Grill,normal,29
147.32.84.164,194.79.52.195,80.0,tcp,0W.,Normal-Grill,normal,8
147.32.84.164,194.79.52.196,80.0,tcp,F.Z00Z.Z.W.Z.,Normal-Grill,normal,18
147.32.84.164,194.79.52.199,80.0,tcp,"Z.Z.Z.Z.z.I.W.W.Z.Z*Z.Z.Z.Z.Z.I.Z.z.I.I.z.Z0Z.Z.z.I.Z.W.W.w.w.f.W.Z,Z.z.Z.I.I.Z+Z.z.I.Z.Z.Z,Z.Z.Z.Z.",Normal-Grill,normal,105
147.32.84.164,194.79.52.204,80.0,tcp,"X+X.X,x.",Normal-Grill,normal,13
147.32.84.164,194.79.52.98,80.0,tcp,"0Z.Z,Z.Z+Z.",Normal-Grill,normal,16
147.32.84.164,194.79.54.24,80.0,tcp,W00W.,Normal-Grill,normal,10
147.32.84.164,194.79.54.61,80.0,tcp,"0W.w.X.X+X.X,X.X.X.",Normal-Grill,normal,24
147.32.84.164,194.79.54.62,80.0,tcp,"X00X.X,X.",Normal-Grill,normal,14
147.32.84.164,195.113.232.82,80.0,tcp,*Z.Z.I.I.I.,Normal-Grill,normal,16
147.32.84.164,195.113.232.97,80.0,tcp,"Z.W.W.w.w.W.W.W.F.W.W.Z*Z.z.I.Z.Z*Z.Z.Z.z.Z*Z+Z.Z.Z.z.Z*Z.Z.Z.z.Z*Z.Z.Z.Z.z.Z*Z.Z.Z.Z.Z+Z*Z.Z.Z.z.Z*Z.Z.Z.I.Z,Z.Z.Z.Z.Z0Z.Z.i.I.z.Z*Z.i.z.I.Z*Z.Z.i.z.",Normal-Grill,normal,155
147.32.84.164,195.113.232.98,80.0,tcp,"w.W.w.Z*Z.Z.z.Z.Z*Z.Z.Z.z.Z*Z.Z.Z.Z.Z*Z.Z.Z.Z.Y*Z,W*W.W+Z*I*Z.Z.Z.z.Z*Z.z.I.z.Z*Z.z.Z.Z.Z*Z.z.I.i.Z0Z.i.z.Z.Z*Z.Z.z.Z.Z.",Normal-Grill,normal,125
147.32.84.164,195.168.10.171,80.0,tcp,Y.,Normal-Grill,normal,7
147.32.84.164,195.24.232.161,80.0,tcp,z*z*z*z*Z0z*,Normal-Grill,normal,17
147.32.84.164,195.24.232.162,80.0,tcp,Z+Z*z*Y+,Normal-Grill,normal,13
147.32.84.164,195.24.232.163,80.0,tcp,0I00,Normal-Grill,normal,9
147.32.84.164,195.24.232.164,80.0,tcp,Z*Z+z*z*I*z*z*z*z*,Normal-Grill,normal,23
147.32.84.164,195.24.232.203,80.0,tcp,"Y.Y.Y.Y.Y.Y+Y.Y+Y.Y+Y.Y+Y.Y+Y.Y.Y*Y.Y+Y.Y+Y.Y+Y.Y+Y.Y.Y+Y.Y+Y.Y+Y.Y+Y.Y+Y.Y.Y+y*Y.Y+H+Y.Y+Y.Y.Y+Y.Y+H+Y.Y*Y.Y+Y.Y.Y*Y.Y+Y.Y*Y.Y+Y.Y+Y.Y.Y+y+Y.Y+Y.Y+Y.Y+Y.Y.Y+Y.Y+Y.Y+Y.Y+Y.Y+Y.Y.Y+Y.Y+Y.Y+Y.Y+y,Y.y.Y.y.y.y.y,Y+Y.Y+Y.Y.Y+Y.Y+Y.Y+Y.Y+h+Y.Y.Y+Y.Y+Y.Y+Y.Y+h+Y.Y.Y+Y.Y*Y.Y+Y.Y+Y.Y+Y.Y.Y+Y.Y+H+Y.Y+Y.Y+Y.Y.Y+H+Y.Y+Y.Y+Y.Y+Y.Y.Y+y+Y.Y+Y.Y+H+Y.Y.Y+h+H+H+Y.Y+Y.Y.Y+Y.Y+Y.Y.Y+Y.Y.y.Y*Y.Y+Y.Y+h+Y.",Normal-Grill,normal,391
147.32.84.164,195.24.232.205,80.0,tcp,y+y*y+h+H+H+y*,Normal-Grill,normal,19
147.32.84.164,195.24.232.210,80.0,tcp,"y+H+y+H*H+H+y+H+H+H+h+H+y+h+y*y+H+y+y+h+H+y*y+y*y+y*y+H+H+y+y+H+y+y+H+H+H+h+H+h+h+y+y,y.Y.y.y.y,Y+y+H+h+H+H+h+h+H+y+H+h+H+y*y+h+H+H+H+H+H+H+H+H+y+H+y+H+y+y+y+H+H+h+H+H+y+H+y+y+Y.Y*y+H+h+",Normal-Grill,normal,191
147.32.84.164,195.24.233.137,80.0,tcp,W.,Normal-Grill,normal,7
147.32.84.164,195.24.233.140,80.0,tcp,z0Z*,Normal-Grill,normal,9
147.32.84.164,195.24.233.17,80.0,tcp,*,Normal-Grill,normal,6
147.32.84.164,195.24.233.18,80.0,tcp,,Normal-Grill,normal,5
147.32.84.164,195.24.233.22,80.0,tcp,z0,Normal-Grill,normal,7
147.32.84.164,195.24.233.25,80.0,tcp,Z*,Normal-Grill,normal,7
147.32.84.164,195.24.233.26,80.0,tcp,z*Z+Z*z*I*z+Z*I*z*,Normal-Grill,normal,23
147.32.84.164,195.24.233.27,80.0,tcp,Z00Z*z*Z*Z*,Normal-Grill,normal,16
147.32.84.164,195.24.233.28,80.0,tcp,"Y,Z00Z+Z*",Normal-Grill,normal,14
147.32.84.164,195.24.233.55,80.0,tcp,"y+y+H+y+H*H+H+y+H+H+H+h+G+y+h+y*y+y*y*y+y*y+y*y+Y*Y+y+H+H+H+y*y+H+Y,Y.y.y,Y+y+H+h+H+H+h+h+H+y+H+h+H+y*y+h+H+H+H+H+y*y+Y0Y+h+",Normal-Grill,normal,129
147.32.84.164,2.21.108.20,80.0,tcp,,Normal-Grill,normal,5
147.32.84.164,2.21.92.124,80.0,tcp,Z*W.W.W.W.W.X*X.Z.F.W.W.X0X.Z.W.W.W.,Normal-Grill,normal,41
147.32.84.164,205.188.8.253,443.0,tcp,i0i0i0i0,Normal-Grill,normal,13
147.32.84.164,207.207.31.146,80.0,tcp,00,Normal-Grill,normal,7
147.32.84.164,209.160.41.144,80.0,tcp,y.Y.w.W.w.,Normal-Grill,normal,15
147.32.84.164,209.85.148.103,80.0,tcp,"y.H.z.Z,Y.W.W.",Normal-Grill,normal,19
147.32.84.164,209.85.148.104,80.0,tcp,"w.w.W00W.W.Z00Z.Y,Y.Z.z.W.F.W.W.W.",Normal-Grill,normal,39
147.32.84.164,209.85.148.105,80.0,tcp,w.F.F.f.,Normal-Grill,normal,13
147.32.84.164,209.85.148.132,80.0,tcp,"00W.Z.Z.z.Z.Z.Z.Z.Z.W,W.w.w.W.W.W.w.F.F.W.",Normal-Grill,normal,47
147.32.84.164,209.85.148.147,80.0,tcp,"Y.Y.y.Y,Y.y.Z00w000W.F.f.",Normal-Grill,normal,30
147.32.84.164,209.85.148.99,80.0,tcp,"F.F.W.Z*z00H00Y.z.y.F.W.W*Z.W.W.w.w.W,W.w.F.F.W,W.w.W.w.",Normal-Grill,normal,61
147.32.84.164,209.85.149.102,80.0,tcp,0,Normal-Grill,normal,6
147.32.84.164,209.85.149.132,80.0,tcp,0Z.z.Z.Z.i.z.I.Z.Z.Z.,Normal-Grill,normal,26
147.32.84.164,209.85.149.191,80.0,tcp,"Z.Z.i.I.I.Z.Z.Z.W,",Normal-Grill,normal,23
147.32.84.164,209.85.149.95,80.0,tcp,W.W.w.Z*z*W0000W.,Normal-Grill,normal,22
147.32.84.164,217.148.80.240,80.0,tcp,X.X.H.X.x.Y.,Normal-Grill,normal,17
147.32.84.164,217.160.58.5,80.0,tcp,"Y.Y.y.Z,Y.y.Z.Y.z.y.I.Y,",Normal-Grill,normal,29
147.32.84.164,50.17.203.200,81.0,tcp,h0h0i0,Normal-Grill,normal,11
147.32.84.164,62.84.143.246,80.0,tcp,W.W.w.Z+Z00Z.w.W.W.W.Z+z*W.W.w.w.z.Z+w+W.W.Z.z.w.,Normal-Grill,normal,54
147.32.84.164,64.12.68.227,443.0,tcp,I*I*z*w0Z*Z*z*z*,Normal-Grill,normal,21
147.32.84.164,64.12.73.134,443.0,tcp,i0i0i0f0,Normal-Grill,normal,13
147.32.84.164,64.238.147.56,80.0,tcp,y.,Normal-Grill,normal,7
147.32.84.164,67.212.77.12,80.0,tcp,00,Normal-Grill,normal,7
147.32.84.164,74.125.232.192,80.0,tcp,Z.Z.z.i.Z.Z*z0,Normal-Grill,normal,19
147.32.84.164,74.125.232.193,443.0,tcp,00,Normal-Grill,normal,7
147.32.84.164,74.125.232.193,80.0,tcp,Z0,Normal-Grill,normal,7
147.32.84.164,74.125.232.194,443.0,tcp,Z*,Normal-Grill,normal,7
147.32.84.164,74.125.232.194,80.0,tcp,h.w.Y*,Normal-Grill,normal,11
147.32.84.164,74.125.232.195,80.0,tcp,Z*Z.Z.I.,Normal-Grill,normal,13
147.32.84.164,74.125.232.196,443.0,tcp,0,Normal-Grill,normal,6
147.32.84.164,74.125.232.196,80.0,tcp,W*Z.Z0Z*Z00Z.Z.I.Z.,Normal-Grill,normal,24
147.32.84.164,74.125.232.197,443.0,tcp,I.i.I.,Normal-Grill,normal,11
147.32.84.164,74.125.232.197,80.0,tcp,z.Z0Z*z*z00Z.Z.z.Z*,Normal-Grill,normal,24
147.32.84.164,74.125.232.198,443.0,tcp,*Z.Z.Z0h0,Normal-Grill,normal,14
147.32.84.164,74.125.232.198,80.0,tcp,"Y0Y.z.Z,Z0z00Z.Z.Z.Z.Z.W*W.",Normal-Grill,normal,32
147.32.84.164,74.125.232.199,443.0,tcp,z0,Normal-Grill,normal,7
147.32.84.164,74.125.232.199,80.0,tcp,Z*z+W.z.F.W.W.Z*z0W.w.W.Z00Z.Z.z.Z.Z.Z.,Normal-Grill,normal,44
147.32.84.164,74.125.232.201,443.0,tcp,Z00,Normal-Grill,normal,8
147.32.84.164,74.125.232.201,80.0,tcp,"Z.X*Z.Z*z*z*W0W+W.F.W.W.W.w.W.W.w.W.W.Z*Z,",Normal-Grill,normal,47
147.32.84.164,74.125.232.202,443.0,tcp,z0,Normal-Grill,normal,7
147.32.84.164,74.125.232.202,80.0,tcp,W.Z*z0Z*,Normal-Grill,normal,13
147.32.84.164,74.125.232.203,80.0,tcp,Z.Z000,Normal-Grill,normal,11
147.32.84.164,74.125.232.204,443.0,tcp,Z*z*z*,Normal-Grill,normal,11
147.32.84.164,74.125.232.204,80.0,tcp,z.Z.z.Z.Z.Z+Z.Z.z.z.z.Z00z*,Normal-Grill,normal,32
147.32.84.164,74.125.232.205,443.0,tcp,Z*,Normal-Grill,normal,7
147.32.84.164,74.125.232.205,80.0,tcp,"Z,Z*W.Z0z0",Normal-Grill,normal,15
147.32.84.164,74.125.232.206,80.0,tcp,Z.Z0Z.W0W.F.f.Z000,Normal-Grill,normal,23
147.32.84.164,74.125.232.207,443.0,tcp,,Normal-Grill,normal,5
147.32.84.164,74.125.232.207,80.0,tcp,Z00W*W.,Normal-Grill,normal,12
147.32.84.164,74.125.232.211,80.0,tcp,00Z*,Normal-Grill,normal,9
147.32.84.164,74.125.232.216,443.0,tcp,i0i0i0i0,Normal-Grill,normal,13
147.32.84.164,74.125.232.220,80.0,tcp,*W.w.Z+Z000,Normal-Grill,normal,16
147.32.84.164,74.125.232.221,443.0,tcp,,Normal-Grill,normal,5
147.32.84.164,74.125.232.223,443.0,tcp,"Z.Z*z*z*Z.Z0Z.Z,Z0Z.z.",Normal-Grill,normal,27
147.32.84.164,74.125.232.223,80.0,tcp,"W.W+W.W*W.W+W.W.w.W.Z*Z.W+W0W.W.W.W00W.W*W.W*W.W,W.W,W.",Normal-Grill,normal,60
147.32.84.164,74.125.235.159,80.0,tcp,,Normal-Grill,normal,5
147.32.84.164,74.125.237.31,80.0,tcp,,Normal-Grill,normal,5
147.32.84.164,74.125.39.125,5222.0,tcp,i0i0i0i0,Normal-Grill,normal,13
147.32.84.164,74.125.53.120,80.0,tcp,F.f.i.,Normal-Grill,normal,11
147.32.84.164,75.101.155.168,80.0,tcp,Y0y00,Normal-Grill,normal,10
147.32.84.164,75.101.162.204,80.0,tcp,"Y,Y*Y,Y.",Normal-Grill,normal,13
147.32.84.164,77.104.226.16,80.0,tcp,"F.F.F.Z0W.w.w.W.W.Z,W.W.W.W.w.Z+Z.Z.i.Z.Z.Z0W.W.W.W.F.",Normal-Grill,normal,59
